keyword,when
Analysis,Beginning
quantitative,Beginning
Data analysis,Beginning
probability,Beginning
Math,Beginning
Statistical/intregral,Beginning
quantitative,Beginning
Data,Beginning
Regression,Beginning
Computational,Beginning
data,Beginning
data-driven,Beginning
Quantitative ,Beginning
Confidence testing,Beginning
Analytical,Beginning
data,Beginning
Data-driven,Beginning
Logical reasoning,Beginning
Coding,Beginning
binomial,Beginning
Probability ,Beginning
Regression analysis,Beginning
Data set,Beginning
Quantitative,Beginning
distributions,Beginning
Sample,Beginning
algorithm,Beginning
informative,Beginning
R value,Beginning
Math,Beginning
probability,Beginning
Data ,Beginning
data,Beginning
data,Beginning
Quantitative,Beginning
examining data,Beginning
Mathematical models ,Beginning
data,Beginning
Data,Beginning
data,Beginning
data,Beginning
Data,Beginning
Math,Beginning
math,Beginning
Distribution,Beginning
Analysis,Beginning
interpreting probability,Beginning
Data,Beginning
data,Beginning
Data,Beginning
Reasoning ,Beginning
significance,Beginning
numbers,Beginning
Analytical,Beginning
Probabilistic,Beginning
Hard,Beginning
Logical ,Beginning
Numbers,Beginning
Data,Beginning
Data,Beginning
Numbers,Beginning
Data driven decision making ,Beginning
Probability ,Beginning
R,Beginning
analysis,Beginning
Methodical,Beginning
Thinking using stats,Beginning
data,Beginning
scary ,Beginning
Math,Beginning
R,Beginning
Numbers,Beginning
Data analysis,Beginning
data,Beginning
conceptualizing data,Beginning
data,Beginning
data,Beginning
scary ,Beginning
quantitative,Beginning
logic,Beginning
Standard Deviation,Beginning
Good,Beginning
Coding,Beginning
Confusing,Beginning
Observe,Beginning
Quantitative reasoning,Beginning
quantitative data,Beginning
Data Analysis,Beginning
data,Beginning
data,Beginning
analysis,Beginning
probability,Beginning
empirical,Beginning
confidence,Beginning
data,Beginning
p value,Beginning
,Beginning
analysis,Beginning
R,Beginning
Data-driven ,Beginning
Objective,Beginning
probability,Beginning
data,Beginning
Logical.,Beginning
data-based,Beginning
Math,Beginning
analysis,Beginning
Data Analysis,Beginning
manipulating data ,Beginning
Complex,Beginning
Trends,Beginning
Confidence,Beginning
Data,Beginning
data analysis,Beginning
R,Beginning
Analyzing Data,Beginning
Data sets,Beginning
z-score,Beginning
Inference,Beginning
Significance ,Beginning
Analysis,Beginning
Math,Beginning
Scary,Beginning
analysis,Beginning
way to view data,Beginning
Data,Beginning
Data,Beginning
probability-centered decision making,Beginning
Probability,Beginning
generalization ,Beginning
No se ,Beginning
Data,Beginning
Reducing bias,Beginning
sample sizes,Beginning
Reserach ,Beginning
cause and effect ,Beginning
analyzing data sets,Beginning
data collection,Beginning
Data,Beginning
Analysis,Beginning
Trends,Beginning
probability ,Beginning
Research design,Beginning
probability,Beginning
Data,Beginning
Patterns,Beginning
Data,Beginning
Number Driven Analysis,Beginning
Data,Beginning
Data,Beginning
Data,Beginning
data-driven,Beginning
precise,Beginning
probability,Beginning
Ingenuity ,Beginning
Numbers,Beginning
variables,Beginning
new perspective,Beginning
Graphs and Models,Beginning
probabilistic ,Beginning
Difference,Beginning
analytical,Beginning
Qualitative thinking ,Beginning
data,Beginning
Probability ,Beginning
Thinking in terms of quantity or numbers,Beginning
data,Beginning
Figures,Beginning
Average,Beginning
R-Studio,Beginning
modeling,Beginning
sampling,Beginning
Analytics ,Beginning
Analytics,Beginning
Data-driven,Beginning
analysis,Beginning
Methodical,Beginning
Numbers,Beginning
Graphs,Beginning
r-test,Beginning
Data,Beginning
Probability,Beginning
Graph,Beginning
Anaylticial,Beginning
inference,Beginning
Random,Beginning
statistical,Beginning
can be complex,Beginning
correlation,Beginning
Numbers,Beginning
data,Beginning
,Beginning
organization,Beginning
analysis,Beginning
Critical,Beginning
analysis of numbers,Beginning
Coding ,Beginning
plot,Beginning
Analysis,Beginning
confidence,Beginning
patterns,Beginning
Drawing conclusions ,Beginning
,Beginning
vizualization,Beginning
Percentage,Beginning
,Beginning
visualization,Beginning
Graph,Beginning
excel,Beginning
Analysis,Beginning
Deduction ,Beginning
sample size,Beginning
mathy,Beginning
Data driven,Beginning
What are the chances?,Beginning
Complicated ,Beginning
Accurate ,Beginning
Data ,Beginning
Research,Beginning
Analysis,Beginning
Data,Beginning
,Beginning
Math ,Beginning
Data,Beginning
synthesis,Beginning
Sequential ,Beginning
Quantitative,Beginning
analysis,Beginning
analytical ,Beginning
Reasonable,Beginning
Data,Beginning
Data,Beginning
Causal inference,Beginning
Bayes,Beginning
,Beginning
effective,Beginning
bayesian,Beginning
numbers,Beginning
data analysis,Beginning
,Beginning
Probability,Beginning
Good,Beginning
,Beginning
Making predictions based off of data,Beginning
Collect,Beginning
Probability ,Beginning
code,Beginning
Numbers,Beginning
trends ,Beginning
analysis,Beginning
variation,Beginning
correlation,Beginning
analytical,Beginning
analysis,Beginning
numbers,Beginning
significance,Beginning
,Beginning
,Beginning
"Mean, median, mode",Beginning
,Beginning
Mathematical,Beginning
chance,Beginning
sample,Beginning
Scientific.,Beginning
analytical,Beginning
R,Beginning
collection,Beginning
,Beginning
,Beginning
Critical,Beginning
Probability ,Beginning
Visualize,Beginning
Probability ,Beginning
numerical,Beginning
coding,Beginning
Creating Data,Beginning
R studio ,Beginning
p-value,Beginning
Data,Beginning
Average ,Beginning
Data,Beginning
,Beginning
Intimidating ,Beginning
data,Beginning
visualize data,Beginning
,Beginning
Order ,Beginning
numerical patterns,Beginning
Answer based on data,Beginning
clustering,Beginning
Don’t know any ,Beginning
Math,Beginning
,Beginning
averages,Beginning
Survey ,Beginning
margin of error,Beginning
building projections,Beginning
,Beginning
Programming,Beginning
Data,Beginning
Prediction,Beginning
,Beginning
Data analysis,Beginning
estimate,Beginning
R,Beginning
Visualization,Beginning
Empirical,Beginning
,Beginning
Acquisition of data,Beginning
Numbers,Beginning
Empirical,Beginning
analytical,Beginning
logical,Beginning
,Beginning
Numerical,Beginning
Trends,Beginning
data analysis,Beginning
alternate view,Beginning
Reading and processing information through graphs and models,Beginning
uncertain,Beginning
Probability,Beginning
systematic,Beginning
Research ,Beginning
code,Beginning
Chance,Beginning
Logical or numeric thinking,Beginning
,Beginning
Interpretation ,Beginning
Quantitative ,Beginning
Data,Beginning
analysis,Beginning
intuition,Beginning
Numbers and charts,Beginning
Averages,Beginning
Logical,Beginning
quantitative,Beginning
,Beginning
Coding ,Beginning
Math,Beginning
z-test,Beginning
Graphs,Beginning
Graphs,Beginning
Probability,Beginning
Sorting,Beginning
statistical significance,Beginning
Deviation,Beginning
thinking,Beginning
,Beginning
graph,Beginning
Data,Beginning
analysis,Beginning
,Beginning
interpretation,Beginning
critical thinking,Beginning
Mathematical,Beginning
looking through numbers,Beginning
Analysis,Beginning
graph,Beginning
Repetition,Beginning
probability,Beginning
analysis,Beginning
Analysis,Beginning
,Beginning
data,Beginning
Mean,Beginning
,Beginning
finding trends,Beginning
Interpretation,Beginning
numbers ,Beginning
Coding,Beginning
Analytics,Beginning
data collection,Beginning
data,Beginning
Curious,Beginning
Inference,Beginning
,Beginning
Reasonable ,Beginning
R ,Beginning
Coding,Beginning
Information,Beginning
Percentages ,Beginning
,Beginning
Data,Beginning
Numbers,Beginning
data,Beginning
Orderly,Beginning
Quantitative thinking,Beginning
random,Beginning
methodical ,Beginning
Thinking,Beginning
Algorithm,Beginning
Graphs,Beginning
Probability,Beginning
probability,Beginning
,Beginning
future,Beginning
frequentist,Beginning
code,Beginning
R,Beginning
,Beginning
Data ,Beginning
Good,Beginning
,Beginning
,Beginning
Significance ,Beginning
,Beginning
math,Beginning
,Beginning
patterns,Beginning
t-scores and z-scores,Beginning
interpretation,Beginning
causation,Beginning
probability,Beginning
probability,Beginning
graphs,Beginning
RStudio,Beginning
,Beginning
,Beginning
,Beginning
,Beginning
Analytical,Beginning
estimating with data,Beginning
variable,Beginning
Analytical. ,Beginning
,Beginning
Statistics,Beginning
compilation,Beginning
,Beginning
,Beginning
Data,Beginning
analytical ,Beginning
Population,Beginning
Tests,Beginning
pattern analysis,Beginning
graphs,Beginning
Determining Causation,Beginning
confidence intervals ,Beginning
mean,Beginning
Regression,Beginning
Normal,Beginning
,Beginning
,Beginning
Daunting,Beginning
coding,Beginning
simplify data set,Beginning
,Beginning
Probability ,Beginning
,Beginning
Judging the future based on the past,Beginning
deduction,Beginning
,Beginning
Analysis,Beginning
,Beginning
,Beginning
DATA,Beginning
reasoning ,Beginning
hypothesis,Beginning
,Beginning
Sorting,Beginning
Graphs,Beginning
,Beginning
,Beginning
Pattern recognition ,Beginning
proportion,Beginning
Graphing points,Beginning
Quantify,Beginning
Pattern,Beginning
,Beginning
P value,Beginning
,Beginning
Data driven solutions,Beginning
empirical,Beginning
math,Beginning
,Beginning
Graph,Beginning
,Beginning
,Beginning
analysis,Beginning
Collecting data,Beginning
misunderstood,Beginning
patterns,End
visualizing,End
hypothesis ,End
Testing hypotheses ,End
Contextual,End
Replicable,End
stay skeptical,End
Significant,End
Inference,End
context,End
Analyzing ,End
Hard,End
correlation vs. causation,End
Numeric Interpretation ,End
Ethics,End
p-value,End
Uncertainty ,End
data,End
critical analysis,End
Hypothesis testing,End
discernment,End
inference,End
Modeling,End
hypothesis,End
Analytical,End
Methodical ,End
Context ,End
Analyzing data,End
hypothesize,End
Visualization ,End
Evidence/Proof,End
P value ,End
interpretation,End
Contextualization ,End
p-value,End
Data Exploration,End
Inference,End
P-values are bad. ,End
Analytical,End
model,End
testing,End
inference,End
,End
Unbiased,End
Methodological,End
don’t trust the p-value,End
Correlation,End
Wrangling,End
confidence,End
Different opinions ,End
R,End
conducting tests,End
Number Analysis,End
Logic,End
bootstrap,End
,End
inference,End
context,End
Probability ,End
critical thinking,End
hypothesis,End
Inference,End
distribution,End
And then,End
Creative ,End
,End
Drawing conclusions about information ,End
test,End
Probability ,End
Data,End
CI,End
context,End
Inference,End
inference,End
Interpretation,End
Theory,End
,End
Thoughtful,End
explore,End
checking,End
data ,End
,End
Logical,End
,End
small part of a big whole,End
Confidence,End
Conjecture,End
model,End
Not exact,End
Posit Cloud ,End
,End
Inferencing ,End
Data,End
wrangling,End
,End
model,End
caution,End
Confidence interval ,End
hypothesis testing,End
confidence,End
Visualization ,End
statistically discernible,End
Significant,End
Colorful ,End
,End
,End
relationship,End
Ethics,End
Truth ,End
Beta,End
assumptions,End
Estimation,End
,End
Testing,End
Statistical,End
,End
Sound,End