Timestamp,What is your answer to the question of the day?,Cleaned,Notes
1/30/26 9:54,No,no,
1/30/26 9:54,Yes ,yes,
1/30/26 9:54,yes,yes,
1/30/26 9:54,Yes,yes,
1/30/26 9:54,yes!,yes,
1/30/26 9:54,I have no preference ,no preference,
1/30/26 9:55,No,no,
1/30/26 9:55,Yes ,yes,
1/30/26 9:55,no thank you! ,no,
1/30/26 9:55,No,no,
1/30/26 9:55,No,no,
1/30/26 9:55,I'm indifferent ,no,
1/30/26 9:55,yes ,yes,
1/30/26 9:55,sure,yes,
1/30/26 9:55,YES!!!! Ah!!! YES!!!,yes,
1/30/26 9:56,Yes,yes,
1/30/26 9:57,Maybe only lofi-kind of music ,yes,lofi only
1/30/26 9:57,Yes! ,yes,
1/30/26 9:57,"Yes, the room is quiet enough that it would be ambiant and not so loud that it would add to the noise",yes,
1/30/26 9:57,Yes,yes,
1/30/26 9:58,Yes,yes,
1/30/26 9:58,Yes,yes,
1/30/26 9:59,No,no,
1/30/26 9:59,No,no,
1/30/26 9:59,No please ,no,
1/30/26 9:59,Yes,yes,
1/30/26 10:00,yes,yes,
1/30/26 10:00,Yes,yes,
1/30/26 10:02,"Sure, yes",yes,
1/30/26 10:02,"Maybe not, but it would be nice if we could bring in headphones to listen to our own music",no,prefers headphones
1/30/26 10:46,Yes,yes,
1/30/26 11:55,I think it would be fun to play music during lab,yes,
1/30/26 11:55,yes,yes,
1/30/26 11:55,We should absolutely play music at a low volume during our labs!,yes,
1/30/26 11:55,Yes,yes,
1/30/26 11:56,No,no,
1/30/26 11:56,No,no,
1/30/26 11:56,No,no,
1/30/26 11:56,Yes,yes,
1/30/26 11:56,sure but i normally have headphone,yes,prefers headphones
1/30/26 11:56,No,no,
1/30/26 11:56,Yes ,yes,
1/30/26 11:57,"I’d prefer not…as an auditory person, I’d get easily distracted. ",no,easily distracted
1/30/26 11:57,"Personally no, even at a low volume music distracts me easily from right brain work.",no,easily distracted
1/30/26 11:57,Maybe... only if its instrumental or like soft jazz or something,yes,instrumental only
1/30/26 11:57,Yes,yes,
1/30/26 11:58,I’m fine with it but i’d rather just listen to my own music in my headphone,yes,prefers headphones
1/30/26 11:58,"No, i think it would be better to allow headphones and such so people can choose their own background music",no,prefers headphones
1/30/26 11:58,yes,yes,
1/30/26 11:59,Yes,yes,
1/30/26 11:59,Yes,yes,
1/30/26 11:59,"No, but make it known that people could listen to their own music",no,prefers headphones
1/30/26 12:00,Yes,yes,
1/30/26 12:01,No,no,